week_start_date,region,campaign_name,spend
2026-06-01,Southeast,AdWords_Search,2705.33
2026-06-01,Southeast,Facebook_Retargeting,1565.63
2026-06-01,Southeast,LinkedIn_B2B,942.85
2026-06-01,Southeast,Influencer_Launch,1041.58
2026-06-01,Northeast,AdWords_Search,2658.75
2026-06-01,Northeast,Facebook_Retargeting,1391.48
2026-06-01,Northeast,LinkedIn_B2B,1090.25
2026-06-01,Northeast,Influencer_Launch,1089.16
2026-06-01,Midwest,AdWords_Search,2509.47
2026-06-01,Midwest,Facebook_Retargeting,1389.2
2026-06-01,Midwest,LinkedIn_B2B,905.62
2026-06-01,Midwest,Influencer_Launch,1035.04
2026-06-01,West,AdWords_Search,2736.04
2026-06-01,West,Facebook_Retargeting,1390.41
2026-06-01,West,LinkedIn_B2B,972.86
2026-06-01,West,Influencer_Launch,1045.84
2026-06-08,Southeast,AdWords_Search,2613.05
2026-06-08,Southeast,Facebook_Retargeting,1366.29
2026-06-08,Southeast,LinkedIn_B2B,937.69
2026-06-08,Southeast,Influencer_Launch,907.53
2026-06-08,Northeast,AdWords_Search,2272.23
2026-06-08,Northeast,Facebook_Retargeting,1578.3
2026-06-08,Northeast,LinkedIn_B2B,997.79
2026-06-08,Northeast,Influencer_Launch,1062.17
2026-06-08,Midwest,AdWords_Search,2593.01
2026-06-08,Midwest,Facebook_Retargeting,1489.68
2026-06-08,Midwest,LinkedIn_B2B,1000.69
2026-06-08,Midwest,Influencer_Launch,1072.72
2026-06-08,West,AdWords_Search,2469.18
2026-06-08,West,Facebook_Retargeting,1555.08
2026-06-08,West,LinkedIn_B2B,1038.66
2026-06-08,West,Influencer_Launch,1044.41
2026-06-15,Southeast,AdWords_Search,2689.26
2026-06-15,Southeast,Facebook_Retargeting,1550.2
2026-06-15,Southeast,LinkedIn_B2B,971.47
2026-06-15,Southeast,Influencer_Launch,947.36
2026-06-15,Northeast,AdWords_Search,2517.49
2026-06-15,Northeast,Facebook_Retargeting,1627.29
2026-06-15,Northeast,LinkedIn_B2B,1059.74
2026-06-15,Northeast,Influencer_Launch,1084.51
2026-06-15,Midwest,AdWords_Search,2645.17
2026-06-15,Midwest,Facebook_Retargeting,1594.08
2026-06-15,Midwest,LinkedIn_B2B,908.09
2026-06-15,Midwest,Influencer_Launch,903.47
2026-06-15,West,AdWords_Search,2738.99
2026-06-15,West,Facebook_Retargeting,1420.89
2026-06-15,West,LinkedIn_B2B,977.57
2026-06-15,West,Influencer_Launch,916.4
2026-06-22,Southeast,AdWords_Search,2536.33
2026-06-22,Southeast,Facebook_Retargeting,1588.27
2026-06-22,Southeast,LinkedIn_B2B,964.15
2026-06-22,Southeast,Influencer_Launch,992.04
2026-06-22,Northeast,AdWords_Search,2423.44
2026-06-22,Northeast,Facebook_Retargeting,1611.55
2026-06-22,Northeast,LinkedIn_B2B,1090.82
2026-06-22,Northeast,Influencer_Launch,1074.4
2026-06-22,Midwest,AdWords_Search,2535.26
2026-06-22,Midwest,Facebook_Retargeting,1628.56
2026-06-22,Midwest,LinkedIn_B2B,918.71
2026-06-22,Midwest,Influencer_Launch,1055.79
2026-06-22,West,AdWords_Search,2571.46
2026-06-22,West,Facebook_Retargeting,1400.24
2026-06-22,West,LinkedIn_B2B,1085.37
2026-06-22,West,Influencer_Launch,1088.37
2026-06-29,Southeast,AdWords_Search,2624.64
2026-06-29,Southeast,Facebook_Retargeting,1549.2
2026-06-29,Southeast,LinkedIn_B2B,918.5
2026-06-29,Southeast,Influencer_Launch,939.77
2026-06-29,Northeast,AdWords_Search,2388.59
2026-06-29,Northeast,Facebook_Retargeting,1610.36
2026-06-29,Northeast,LinkedIn_B2B,1002.28
2026-06-29,Northeast,Influencer_Launch,911.34
2026-06-29,Midwest,AdWords_Search,2661.62
2026-06-29,Midwest,Facebook_Retargeting,1623.5
2026-06-29,Midwest,LinkedIn_B2B,1015.31
2026-06-29,Midwest,Influencer_Launch,1098.44
2026-06-29,West,AdWords_Search,2291.32
2026-06-29,West,Facebook_Retargeting,1556.03
2026-06-29,West,LinkedIn_B2B,999.97
2026-06-29,West,Influencer_Launch,1021.74
2026-07-06,Southeast,AdWords_Search,2307.59
2026-07-06,Southeast,Facebook_Retargeting,1469.35
2026-07-06,Southeast,LinkedIn_B2B,1026.66
2026-07-06,Southeast,Influencer_Launch,1046.35
2026-07-06,Northeast,AdWords_Search,2307.78
2026-07-06,Northeast,Facebook_Retargeting,1397.22
2026-07-06,Northeast,LinkedIn_B2B,1073.35
2026-07-06,Northeast,Influencer_Launch,1084.8
2026-07-06,Midwest,AdWords_Search,2730.06
2026-07-06,Midwest,Facebook_Retargeting,1473.03
2026-07-06,Midwest,LinkedIn_B2B,1050.53
2026-07-06,Midwest,Influencer_Launch,927.93
2026-07-06,West,AdWords_Search,2307.58
2026-07-06,West,Facebook_Retargeting,1581.41
2026-07-06,West,LinkedIn_B2B,1034.69
2026-07-06,West,Influencer_Launch,923.19
2026-07-13,Southeast,AdWords_Search,2441.29
2026-07-13,Southeast,Facebook_Retargeting,1381.35
2026-07-13,Southeast,LinkedIn_B2B,1082.66
2026-07-13,Southeast,Influencer_Launch,908.37
2026-07-13,Northeast,AdWords_Search,2558.75
2026-07-13,Northeast,Facebook_Retargeting,1359.58
2026-07-13,Northeast,LinkedIn_B2B,927.2
2026-07-13,Northeast,Influencer_Launch,968.59
2026-07-13,Midwest,AdWords_Search,2621.29
